,metric,value,step,version_tag
0,Loss/Total Loss (Train),693.8782348632812,0.0,version_2
1,Loss/Total Loss (Train),288.56280517578125,1.0,version_2
2,Loss/Total Loss (Train),204.6368865966797,2.0,version_2
3,Loss/Total Loss (Train),144.95384216308594,3.0,version_2
4,Loss/Total Loss (Train),127.28742980957031,4.0,version_2
5,Loss/Total Loss (Train),116.73125457763672,5.0,version_2
6,Loss/Total Loss (Train),109.50875854492188,6.0,version_2
7,Loss/Total Loss (Train),104.07682800292969,7.0,version_2
8,Loss/Total Loss (Train),100.68447875976562,8.0,version_2
9,Loss/Total Loss (Train),97.76158142089844,9.0,version_2
10,Loss/Total Loss (Train),96.00797271728516,10.0,version_2
11,Loss/Total Loss (Train),94.2677230834961,11.0,version_2
12,Loss/Total Loss (Train),93.16398620605469,12.0,version_2
13,Loss/Total Loss (Train),91.98857879638672,13.0,version_2
14,Loss/Total Loss (Train),91.46986389160156,14.0,version_2
15,Loss/Total Loss (Train),90.88484954833984,15.0,version_2
16,Loss/Total Loss (Train),90.40248107910156,16.0,version_2
17,Loss/Total Loss (Train),90.01698303222656,17.0,version_2
18,Loss/Total Loss (Train),89.31906127929688,18.0,version_2
19,Loss/Total Loss (Train),89.02949523925781,19.0,version_2
20,Loss/Total Loss (Train),88.90324401855469,20.0,version_2
21,Loss/Total Loss (Train),88.06124877929688,21.0,version_2
22,Loss/Total Loss (Train),87.86866760253906,22.0,version_2
23,Loss/Total Loss (Train),88.02883911132812,23.0,version_2
24,Loss/Total Loss (Train),87.44410705566406,24.0,version_2
25,Loss/Total Loss (Train),87.22132873535156,25.0,version_2
26,Loss/Total Loss (Train),86.9966812133789,26.0,version_2
27,Loss/Total Loss (Train),86.58311462402344,27.0,version_2
28,Loss/Total Loss (Train),86.69849395751953,28.0,version_2
29,Loss/Total Loss (Train),86.14794158935547,29.0,version_2
30,Loss/Total Loss (Train),86.12852478027344,30.0,version_2
31,Loss/Total Loss (Train),85.94574737548828,31.0,version_2
32,Loss/Total Loss (Train),85.59281158447266,32.0,version_2
33,Loss/Total Loss (Train),84.96829223632812,33.0,version_2
34,Loss/Total Loss (Train),84.87103271484375,34.0,version_2
35,Loss/Total Loss (Train),84.45601654052734,35.0,version_2
36,Loss/Total Loss (Train),84.80877685546875,36.0,version_2
37,Loss/Total Loss (Train),84.1570816040039,37.0,version_2
38,Loss/Total Loss (Train),83.98897552490234,38.0,version_2
39,Loss/Total Loss (Train),83.85700225830078,39.0,version_2
40,Loss/Total Loss (Train),83.5162124633789,40.0,version_2
41,Loss/Total Loss (Train),83.373779296875,41.0,version_2
42,Loss/Total Loss (Train),83.09989929199219,42.0,version_2
43,Loss/Total Loss (Train),82.67405700683594,43.0,version_2
44,Loss/Total Loss (Train),82.67967224121094,44.0,version_2
45,Loss/Total Loss (Train),82.48583984375,45.0,version_2
46,Loss/Total Loss (Train),82.13743591308594,46.0,version_2
47,Loss/Total Loss (Train),82.15345764160156,47.0,version_2
48,Loss/Total Loss (Train),81.9444351196289,48.0,version_2
49,Loss/Total Loss (Train),81.51554107666016,49.0,version_2
50,Loss/Total Loss (Train),81.4223403930664,50.0,version_2
51,Loss/Total Loss (Train),81.27991485595703,51.0,version_2
52,Loss/Total Loss (Train),80.93132781982422,52.0,version_2
53,Loss/Total Loss (Train),80.60607147216797,53.0,version_2
54,Loss/Total Loss (Train),80.45357513427734,54.0,version_2
55,Loss/Total Loss (Train),80.49354553222656,55.0,version_2
56,Loss/Total Loss (Train),80.11830139160156,56.0,version_2
57,Loss/Total Loss (Train),79.84980773925781,57.0,version_2
